#Sample	chao1	observed_species	shannon	simpson
Ran_d1_Rcc_e00_1	136.2	123.0	5.08811436559	0.925628550585
Ran_d1_Rcc_e00_2	128.5	126.0	5.4158803124	0.937735139792
Ran_d1_Rcc_e40_1	126.5	125.0	5.84983432047	0.974549441211
Ran_d1_Rcc_e40_2	127.0	126.0	5.44639880842	0.931920622645
Ran_d1_Sal_e00_1	131.75	131.0	5.80946158802	0.966930841307
Ran_d1_Sal_e00_2	136.75	136.0	5.95203351277	0.972929273841
Ran_d1_Sal_e40_1	132.0	131.0	5.75976129708	0.968204836465
Ran_d1_Sal_e40_2	133.2	132.0	5.54135149745	0.959818044859
Ran_d1_Stw_e00_1	137.5	133.0	4.01721487207	0.817100827831
Ran_d1_Stw_e00_2	130.0	124.0	5.08513397988	0.955856007404
Ran_d1_Stw_e40_1	136.909090909	135.0	5.15037939544	0.955884553264
Ran_d1_Stw_e40_2	139.0	134.0	5.89375857942	0.975140492298
Ran_d1_Stw_e40_3	138.111111111	137.0	4.8948765837	0.90851462091
Ran_d2_Rcc_e00_1	131.0	128.0	4.5353459936	0.851793486817
Ran_d2_Rcc_e00_2	115.6	110.0	5.82777593424	0.975484540866
Ran_d2_Rcc_e40_1	133.5	126.0	5.77519812314	0.971273955229
Ran_d2_Rcc_e40_2	125.5	118.0	5.50447448415	0.963097867566
Ran_d2_Sal_e00_1	135.5	128.0	5.37552382567	0.96141979903
Ran_d2_Sal_e00_2	123.5	121.0	5.68599588082	0.96909254723
Ran_d2_Sal_e40_1	131.875	130.0	5.85100178871	0.975849815858
Ran_d2_Sal_e40_2	136.75	133.0	5.41039635569	0.952014156253
Ran_d2_Stw_e00_1	135.5	134.0	5.74962490877	0.964771347458
Ran_d2_Stw_e00_2	133.666666667	132.0	5.30038515499	0.95594923643
Ran_d2_Stw_e40_1	147.333333333	138.0	5.19492970866	0.959490664039
Ran_d2_Stw_e40_2	141.0	138.0	5.88183459953	0.963913744486
Ran_d2_Stw_e40_3	122.083333333	95.0	2.50911208905	0.768173607835
TS_FW_d1_00_1	141.0	126.0	6.15523660203	0.980832871226
TS_FW_d1_00_2	124.5	124.0	6.24172311315	0.980925082483
TS_FW_d1_04_1	115.0	115.0	6.14004898071	0.980097587566
TS_FW_d1_04_2	133.5	131.0	5.87629226066	0.974619568277
TS_FW_d1_07_1	133.0	132.0	6.19465496335	0.978492749674
TS_FW_d1_07_2	130.428571429	130.0	6.09989929632	0.971393977867
TS_FW_d1_12_1	119.75	119.0	6.10848873417	0.979782979819
TS_FW_d1_12_2	124.25	119.0	3.4057719371	0.831086504518
TS_FW_d2_00_1	120.5	119.0	5.84182993103	0.970985409683
TS_FW_d2_00_2	140.0	125.0	6.03193000068	0.977385951553
TS_FW_d2_04_1	133.25	128.0	6.00774116388	0.970643749396
TS_FW_d2_04_2	123.0	120.0	4.98008347605	0.917085136825
TS_FW_d2_07_1	122.0	117.0	5.54486721342	0.964467626921
TS_FW_d2_07_2	120.5	119.0	6.00562560774	0.977887804371
TS_FW_d2_12_1	127.2	123.0	5.13935963985	0.933734088005
TS_FW_d2_12_2	117.090909091	113.0	4.352302665	0.871142461131
TS_SW_d1_04_1	126.333333333	123.0	6.14928573428	0.980533466988
TS_SW_d1_04_2	125.0	123.0	6.27690022637	0.982642762815
TS_SW_d1_07_1	122.333333333	122.0	6.1257348683	0.979689514421
TS_SW_d1_07_2	123.0	122.0	6.34309236942	0.984376362266
TS_SW_d1_12_1	119.0	116.0	5.92998348964	0.97625263082
TS_SW_d1_12_2	120.5	119.0	6.18524481811	0.982552842096
TS_SW_d2_04_1	122.0	120.0	5.42175230687	0.956323424962
TS_SW_d2_04_2	128.875	127.0	5.63696029664	0.964314740728
TS_SW_d2_07_1	119.333333333	116.0	5.87002918759	0.975112463953
TS_SW_d2_07_2	122.0	117.0	5.78010874234	0.973021815065
TS_SW_d2_12_1	130.0	127.0	5.82020894496	0.971311775751
TS_SW_d2_12_2	119.25	114.0	5.66962755421	0.965560006517
d1_Ran_0_1	137.0	113.0	5.24514742944	0.960074714976
d1_Ran_0_2	129.5	119.0	5.62256660921	0.953624470826
d1_Ran_F_e00_1	124.0	123.0	5.06432893787	0.900164988893
d1_Ran_F_e00_2	121.909090909	121.0	4.90982276469	0.894005467993
d1_Ran_F_e40_1	130.5	127.0	5.81076787423	0.964661501462
d1_Ran_F_e40_2	138.428571429	132.0	5.71806777956	0.967606933903
d1_Rcc_0_1	156.5	129.0	5.94454812655	0.970598361737
d1_Rcc_F_e00_1	139.666666667	138.0	5.5590898391	0.941469236981
d1_Rcc_F_e00_2	136.0	131.0	5.84171221263	0.968571256319
d1_Rcc_F_e40_1	130.5	129.0	5.88366219806	0.973327814885
d1_Rcc_F_e40_2	132.0	130.0	5.85963783677	0.966949975073
d1_Sal_0_1	125.75	122.0	5.67557863159	0.967178968709
d1_Sal_F_e00_1	131.333333333	131.0	5.37761374499	0.932162683551
d1_Sal_F_e00_2	126.5	122.0	3.89654782473	0.791456251728
d1_Sal_F_e40_1	126.428571429	125.0	5.4384948778	0.958752417309
d1_Sal_F_e40_2	139.0	136.0	5.78396188528	0.971430498865
d1_Stw_0_1	154.0	119.0	3.0867955773	0.71014644151
d1_Stw_F_e00_1	123.866666667	122.0	4.13027584452	0.871856516176
d1_Stw_F_e00_2	136.0	133.0	5.2431893847	0.961608555275
d1_Stw_F_e40_1	137.1	128.0	4.95375809095	0.941654813269
d2_Ran_0_1	133.625	131.0	5.89670999517	0.974204494581
d2_Ran_0_2	104.666666667	96.0	5.01993481297	0.95433787926
d2_Ran_F_e00_1	120.625	115.0	4.61525067441	0.921167019192
d2_Ran_F_e40_1	120.0	114.0	5.70881363201	0.972125247433
d2_Ran_F_e40_2	136.0	122.0	5.85785936479	0.975381058301
d2_Rcc_0_1	139.2	132.0	6.07859521497	0.978384125241
d2_Rcc_F_e00_1	120.153846154	118.0	4.17944855866	0.896299898434
d2_Rcc_F_e40_1	131.0	129.0	5.69954838466	0.969023742055
d2_Rcc_F_e40_2	115.5	111.0	3.40661642106	0.797968559879
d2_Sal_0_1	121.666666667	120.0	4.57622983682	0.843941402449
d2_Sal_F_e00_1	138.0	133.0	5.42586634789	0.945288297835
d2_Sal_F_e00_2	129.333333333	126.0	3.67519852046	0.72272848189
d2_Sal_F_e40_1	141.0	132.0	5.78062740014	0.972415667563
d2_Sal_F_e40_2	128.0	125.0	5.8006315753	0.973325287478
d2_Stw_0_1	117.5	111.0	2.53701162798	0.595229220865
d2_Stw_F_e00_1	90.1111111111	62.0	2.80139601451	0.81667832663
d2_Stw_F_e00_2	136.0	123.0	3.88407370552	0.819803693302
d2_Stw_F_e40_1	150.2	137.0	5.27245024563	0.953854080182